City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,Kenai,60.5544,-151.2583,3.29,85,90,10.36,US,2021-11-28 19:48:58
238,Juneau,58.3019,-134.4197,30.2,86,90,5.75,US,2021-11-28 19:45:21
239,Tura,25.5198,90.2201,59.36,65,5,3.33,IN,2021-11-28 19:48:59
240,Palembang,-2.9167,104.7458,74.97,83,100,0.76,ID,2021-11-28 19:49:00
241,Garachine,8.0647,-78.3628,82.04,80,55,6.76,PA,2021-11-28 19:49:00
242,Benguela,-12.5763,13.4055,76.01,81,97,8.66,AO,2021-11-28 19:49:00
243,Bethel,41.3712,-73.414,37.98,69,90,3.44,US,2021-11-28 19:45:00
244,Roma,43.2128,-75.4557,33.94,80,90,5.75,US,2021-11-28 19:49:01
245,Key West,24.5557,-81.7826,75.2,60,1,4.61,US,2021-11-28 19:49:01
246,Becej,45.6163,20.0333,46.35,88,100,9.57,RS,2021-11-28 19:49:02
247,Hamilton,39.1834,-84.5333,45.84,42,1,14.97,US,2021-11-28 19:48:34
248,Dalvik,65.9702,-18.5286,28.33,96,100,2.39,IS,2021-11-28 19:49:02
249,Taguisa,6.6983,124.0358,77.94,82,76,4.0,PH,2021-11-28 19:49:02
250,Ternate,0.8,127.4,78.35,82,100,1.21,ID,2021-11-28 19:49:03
251,Cururupu,-1.8283,-44.8683,84.07,67,70,5.75,BR,2021-11-28 19:49:03
252,Quelimane,-17.8786,36.8883,75.15,78,0,4.61,MZ,2021-11-28 19:49:04
253,Carutapera,-1.195,-46.02,84.2,66,6,8.14,BR,2021-11-28 19:46:07
254,Mariental,-24.6333,17.9667,75.67,4,0,9.8,NA,2021-11-28 19:49:04
255,Barcelos,41.5388,-8.6151,55.54,90,83,7.72,PT,2021-11-28 19:45:41
256,El Tigre,8.8875,-64.2454,84.65,55,99,10.92,VE,2021-11-28 19:49:05
257,Jackson,42.4165,-122.8345,61.84,87,90,0.0,US,2021-11-28 19:49:05
258,Kamenka,51.3223,42.7678,41.76,94,100,7.74,RU,2021-11-28 19:49:06
259,Acapulco,16.8634,-99.8901,84.65,64,91,6.35,MX,2021-11-28 19:49:07
260,Sungaipenuh,-2.0833,101.3833,62.04,96,100,1.68,ID,2021-11-28 19:49:07
261,Manaus,-3.1019,-60.025,84.69,74,75,3.44,BR,2021-11-28 19:49:07
262,Bereda,43.2686,-7.5406,49.75,94,100,6.93,ES,2021-11-28 19:49:08
263,Paciran,-6.8767,112.3761,76.46,88,100,3.69,ID,2021-11-28 19:49:08
264,Shrewsbury,52.7101,-2.7521,33.84,93,75,5.75,GB,2021-11-28 19:47:57
265,Amberley,39.2048,-84.428,45.16,41,1,14.97,US,2021-11-28 19:49:09
266,Russell,32.3502,-85.1999,55.11,43,90,5.75,US,2021-11-28 19:49:09
267,Saint George,37.1041,-113.5841,70.27,24,1,4.61,US,2021-11-28 19:45:19
268,Paramonga,-10.6667,-77.8333,70.43,76,83,10.22,PE,2021-11-28 19:49:10
269,Berbera,10.4396,45.0143,81.77,55,1,6.55,SO,2021-11-28 19:49:10
270,Maracacume,-2.0428,-45.9592,85.1,61,70,2.64,BR,2021-11-28 19:49:10
271,Kavieng,-2.5744,150.7967,81.18,79,74,9.08,PG,2021-11-28 19:49:11
272,Carnarvon,-24.8667,113.6333,75.27,64,0,14.97,AU,2021-11-28 19:45:25
273,Kieta,-6.2167,155.6333,79.83,82,100,0.67,PG,2021-11-28 19:50:12
274,Chuy,-33.6971,-53.4616,66.69,95,100,3.24,UY,2021-11-28 19:47:42
275,Hurghada,27.2574,33.8129,71.64,37,0,0.0,EG,2021-11-28 19:50:12
276,Tateyama,34.9833,139.8667,48.22,55,9,4.09,JP,2021-11-28 19:50:12
277,Luderitz,-26.6481,15.1594,61.86,83,4,9.31,NA,2021-11-28 19:47:24
278,Port Hardy,50.6996,-127.4199,50.18,93,75,2.3,CA,2021-11-28 19:45:19
279,San Patricio,28.017,-97.5169,70.21,61,100,10.74,US,2021-11-28 19:50:13
280,Codrington,-38.2667,141.9667,48.04,92,1,7.99,AU,2021-11-28 19:45:58
281,Along,28.1667,94.7667,52.05,64,0,1.9,IN,2021-11-28 19:50:13
282,Olivet,47.8622,1.8991,33.55,86,0,9.22,FR,2021-11-28 19:50:14
283,Balgazyn,51.0,95.2,2.75,96,96,1.5,RU,2021-11-28 19:50:14
284,Benavente,42.0025,-5.6783,48.31,85,100,12.44,ES,2021-11-28 19:50:14
285,Hobyo,5.3505,48.5268,81.43,78,32,15.08,SO,2021-11-28 19:50:15
286,Lompoc,34.6391,-120.4579,73.81,18,1,0.0,US,2021-11-28 19:50:15
287,Tomatlan,19.9333,-105.25,88.5,44,75,9.33,MX,2021-11-28 19:50:15
288,Prado,-17.3411,-39.2208,75.2,93,53,13.38,BR,2021-11-28 19:50:16
289,Mayo,38.8876,-76.5119,60.78,51,51,3.6,US,2021-11-28 19:50:16
290,Alta Floresta,-9.8756,-56.0861,89.42,66,20,6.91,BR,2021-11-28 19:50:16
291,Wukari,7.85,9.7833,80.47,21,99,2.39,NG,2021-11-28 19:50:17
292,Rosario,-32.9468,-60.6393,69.71,64,75,23.02,AR,2021-11-28 19:47:55
